datetime,hour,co,benzene,nox,no2,temp,humidity
2004-03-15 07:00:00,7,2.2,9.7,228.0,89.0,11.3,70.2
2004-03-15 08:00:00,8,5.5,25.9,360.0,114.0,12.4,63.9
2004-03-15 09:00:00,9,8.1,36.7,478.0,149.0,14.8,54.3
2004-03-15 10:00:00,10,5.8,26.6,394.0,157.0,17.4,45.6
2004-03-15 11:00:00,11,4.2,20.1,319.0,155.0,19.8,38.5
2004-03-15 12:00:00,12,3.1,14.1,201.0,134.0,22.0,34.1
2004-03-15 13:00:00,13,2.9,14.9,171.0,119.0,23.3,32.2
2004-03-15 14:00:00,14,2.9,15.4,159.0,111.0,23.9,30.0
2004-03-15 15:00:00,15,2.5,12.1,153.0,104.0,24.4,28.9
2004-03-15 16:00:00,16,2.3,11.5,143.0,99.0,24.4,29.4
2004-03-15 17:00:00,17,2.8,14.8,156.0,110.0,23.8,31.3
2004-03-15 18:00:00,18,6.1,32.1,314.0,162.0,22.5,35.4
2004-03-15 19:00:00,19,8.0,39.2,404.0,187.0,20.4,42.5
2004-03-15 20:00:00,20,6.5,31.0,320.0,165.0,18.3,52.6
2004-03-15 21:00:00,21,4.2,19.9,256.0,145.0,16.7,57.4
2004-03-15 22:00:00,22,3.2,15.3,193.0,125.0,15.7,60.2
2004-03-15 23:00:00,23,1.4,6.9,89.0,101.0,15.3,61.4
2004-03-16 00:00:00,0,2.1,11.1,127.0,103.0,14.1,65.7
2004-03-16 01:00:00,1,1.2,5.4,79.0,88.0,14.8,60.6
2004-03-16 02:00:00,2,0.8,2.8,43.0,61.0,14.8,59.2
2004-03-16 03:00:00,3,0.7,2.3,31.0,43.0,13.6,62.1
2004-03-16 04:00:00,4,0.66667,2.6,59.0,59.0,12.3,66.2
2004-03-16 05:00:00,5,0.6,2.0,38.0,52.0,12.8,63.2
2004-03-16 06:00:00,6,0.9,3.5,82.0,64.0,11.2,68.5
2004-03-16 07:00:00,7,1.3,5.1,99.0,70.0,11.0,66.5
2004-03-16 08:00:00,8,3.4,16.2,263.0,97.0,11.7,63.7
2004-03-16 09:00:00,9,3.7,19.7,229.0,95.0,13.6,56.3
2004-03-16 10:00:00,10,5.3,25.1,396.0,150.0,17.8,42.9
2004-03-16 11:00:00,11,4.1,20.0,314.0,162.0,21.4,33.3
2004-03-16 12:00:00,12,3.3,18.3,217.0,154.0,24.4,27.4
2004-03-16 13:00:00,13,4.0,22.3,252.0,161.0,25.3,26.1
2004-03-16 14:00:00,14,3.8,20.4,263.0,161.0,25.8,23.2
2004-03-16 15:00:00,15,2.8,14.6,180.0,128.0,27.0,20.2
2004-03-16 16:00:00,16,2.9,16.6,184.0,129.0,28.2,18.6
2004-03-16 17:00:00,17,2.9,15.8,190.0,133.0,28.0,19.1
2004-03-16 18:00:00,18,3.4,17.8,184.0,139.0,23.9,25.7
2004-03-16 19:00:00,19,3.9,19.1,181.0,137.0,21.3,34.8
2004-03-16 20:00:00,20,3.2,15.8,166.0,143.0,20.4,36.7
2004-03-16 21:00:00,21,5.1,24.9,317.0,177.0,19.0,41.3
2004-03-16 22:00:00,22,2.6,13.5,184.0,138.0,17.9,45.9
2004-03-16 23:00:00,23,1.7,9.1,130.0,117.0,16.7,48.9
2004-03-17 00:00:00,0,1.7,8.6,132.0,107.0,15.5,52.9
2004-03-17 01:00:00,1,1.2,5.4,95.0,90.0,15.5,51.9
2004-03-17 02:00:00,2,0.9,4.1,70.0,79.0,14.1,55.6
2004-03-17 03:00:00,3,0.7,2.6,54.66667,72.0,13.1,57.9
2004-03-17 04:00:00,4,0.73333,1.9,54.0,60.0,12.7,57.9
2004-03-17 05:00:00,5,0.5,1.6,28.0,40.0,11.8,58.0
2004-03-17 06:00:00,6,0.5,1.9,46.0,53.0,11.9,57.4
2004-03-17 07:00:00,7,1.6,7.5,160.0,84.0,9.9,65.2
2004-03-17 08:00:00,8,4.1,21.4,320.0,108.0,11.1,60.2
2004-03-17 09:00:00,9,6.6,36.4,377.0,127.0,14.1,50.0
2004-03-17 10:00:00,10,4.3,21.3,280.0,134.0,17.7,40.1
2004-03-17 11:00:00,11,2.9,15.4,221.0,135.0,21.1,33.4
2004-03-17 12:00:00,12,2.5,12.5,210.0,142.0,24.3,28.3
2004-03-17 13:00:00,13,2.8,15.1,204.0,153.0,25.6,25.6
2004-03-17 14:00:00,14,2.6,13.7,161.0,123.0,25.9,25.9
2004-03-17 15:00:00,15,2.0,10.4,135.0,104.0,26.8,18.7
2004-03-17 16:00:00,16,2.9,15.2,186.0,129.0,29.3,15.8
2004-03-17 17:00:00,17,2.5,12.3,147.0,114.0,28.5,14.9
2004-03-17 18:00:00,18,5.0,27.0,299.0,158.0,25.9,16.0
2004-03-17 19:00:00,19,7.6,38.4,411.0,194.0,23.1,26.5
2004-03-17 20:00:00,20,6.7,35.1,347.0,182.0,20.5,38.2
2004-03-17 21:00:00,21,5.7,27.2,336.0,180.0,19.1,42.6
2004-03-17 22:00:00,22,2.8,15.0,202.0,136.0,17.2,44.1
2004-03-17 23:00:00,23,2.6,15.7,178.0,127.0,16.0,50.9
2004-03-18 00:00:00,0,2.3,13.0,154.0,116.0,14.8,53.9
2004-03-18 01:00:00,1,1.4,8.1,92.0,107.0,14.3,55.4
2004-03-18 02:00:00,2,1.0,5.5,61.0,88.0,14.8,52.1
2004-03-18 03:00:00,3,0.7,3.6,68.0,69.0,13.9,53.9
2004-03-18 04:00:00,4,0.66667,2.9,60.0,78.0,11.6,61.9
2004-03-18 05:00:00,5,0.6,2.5,37.0,57.0,12.0,58.9
2004-03-18 06:00:00,6,0.7,3.0,68.0,71.0,10.9,62.1
2004-03-18 07:00:00,7,1.5,7.7,139.0,85.0,10.6,63.3
2004-03-18 08:00:00,8,4.7,23.3,339.0,124.0,11.5,60.0
2004-03-18 09:00:00,9,6.6,35.8,421.0,151.0,14.3,50.6
2004-03-18 10:00:00,10,4.5,21.3,349.0,150.0,17.8,40.5
2004-03-18 11:00:00,11,2.8,14.3,224.0,152.0,20.8,34.4
2004-03-18 12:00:00,12,2.2,12.5,171.0,139.0,23.8,28.2
2004-03-18 13:00:00,13,2.2,12.2,149.0,133.0,24.2,28.7
2004-03-18 14:00:00,14,2.3,13.1,137.0,126.0,25.2,24.9
2004-03-18 15:00:00,15,2.2,14.4,149.0,128.0,27.0,17.8
2004-03-18 16:00:00,16,2.8,16.8,172.0,169.0,27.1,23.1
2004-03-18 17:00:00,17,2.7,14.5,166.0,149.0,25.8,23.9
2004-03-18 18:00:00,18,3.7,21.5,214.0,156.0,23.0,26.8
2004-03-18 19:00:00,19,5.1,26.4,280.0,168.0,20.7,31.1
2004-03-18 20:00:00,20,5.1,26.0,276.0,176.0,18.6,36.2
2004-03-18 21:00:00,21,3.2,14.1,178.0,135.0,16.0,48.4
2004-03-18 22:00:00,22,2.1,10.3,129.0,121.0,14.5,57.8
2004-03-18 23:00:00,23,1.7,8.3,95.0,99.0,13.1,64.2
2004-03-19 00:00:00,0,2.0,8.9,126.0,106.0,12.0,69.7
2004-03-19 01:00:00,1,1.6,6.6,103.0,96.0,11.9,71.1
2004-03-19 02:00:00,2,0.9,3.6,48.0,63.0,12.5,69.3
2004-03-19 04:00:00,4,0.6,1.8,20.0,32.0,12.3,67.7
2004-03-19 05:00:00,5,0.5,1.3,18.0,28.0,12.5,66.8
2004-03-19 06:00:00,6,0.7,2.3,56.0,61.0,12.3,66.3
2004-03-19 07:00:00,7,1.5,6.7,115.0,99.0,12.4,64.9
2004-03-19 08:00:00,8,4.8,22.8,320.0,157.0,13.0,61.6
2004-03-19 09:00:00,9,6.2,31.3,357.0,166.0,13.6,58.8
2004-03-19 10:00:00,10,4.0,19.2,253.0,149.0,13.9,57.1
2004-03-19 11:00:00,11,3.3,16.4,218.0,135.0,14.5,54.4
2004-03-19 12:00:00,12,2.8,14.0,192.0,127.0,15.5,50.1
2004-03-19 13:00:00,13,3.0,15.3,176.0,122.0,16.1,47.6
2004-03-19 14:00:00,14,3.3,16.7,198.0,135.0,16.3,47.1
2004-03-19 15:00:00,15,3.5,19.0,212.0,139.0,16.4,47.5
2004-03-19 16:00:00,16,4.0,19.4,249.0,147.0,16.1,50.2
2004-03-19 17:00:00,17,4.6,20.9,270.0,158.0,16.0,50.7
2004-03-19 18:00:00,18,4.1,20.2,231.0,146.0,15.8,50.3
2004-03-19 19:00:00,19,4.5,21.7,251.0,144.0,15.5,50.6
2004-03-19 20:00:00,20,3.9,19.8,210.0,138.0,15.4,51.4
2004-03-19 21:00:00,21,4.0,16.7,249.0,143.0,15.2,53.1
2004-03-19 22:00:00,22,2.2,9.1,143.0,116.0,14.7,57.6
2004-03-19 23:00:00,23,2.1,8.3,127.0,109.0,14.2,58.3
2004-03-20 00:00:00,0,1.7,5.8,104.0,92.0,13.8,57.9
2004-03-20 01:00:00,1,1.6,5.2,86.0,83.0,13.9,55.9
2004-03-20 02:00:00,2,1.3,4.1,74.0,81.0,13.9,55.6
2004-03-20 04:00:00,4,0.83333,2.9,44.0,55.0,13.8,54.6
2004-03-20 05:00:00,5,0.8,3.1,42.0,53.0,13.6,55.1
2004-03-20 06:00:00,6,0.8,2.5,63.0,67.0,13.6,59.0
2004-03-20 07:00:00,7,1.1,4.3,115.0,91.0,13.5,58.4
2004-03-20 08:00:00,8,2.1,8.9,170.0,113.0,13.8,58.0
2004-03-20 09:00:00,9,2.4,10.5,147.0,102.0,14.6,53.1
2004-03-20 10:00:00,10,2.6,12.5,166.0,107.0,15.0,52.3
2004-03-20 11:00:00,11,2.8,12.3,195.0,113.0,15.4,52.1
2004-03-20 12:00:00,12,2.6,11.7,182.0,108.0,16.3,50.0
2004-03-20 13:00:00,13,2.6,11.7,168.0,105.0,17.1,47.9
2004-03-20 14:00:00,14,2.1,9.3,125.0,93.0,19.0,42.9
2004-03-20 15:00:00,15,1.7,7.6,95.0,87.0,19.5,42.3
2004-03-20 16:00:00,16,1.6,6.7,79.0,76.0,19.5,42.3
2004-03-20 17:00:00,17,2.1,9.7,119.0,94.0,19.1,43.8
2004-03-20 18:00:00,18,2.3,12.4,142.0,110.0,18.5,46.3
2004-03-20 19:00:00,19,3.5,16.6,215.0,136.0,17.4,51.6
2004-03-20 20:00:00,20,3.9,16.4,229.0,139.0,17.1,51.3
2004-03-20 21:00:00,21,3.3,13.7,206.0,125.0,16.4,53.8
2004-03-20 22:00:00,22,2.3,9.9,147.0,111.0,16.2,55.4
2004-03-20 23:00:00,23,2.1,8.9,122.0,97.0,15.9,57.7
2004-03-21 00:00:00,0,2.8,10.6,175.0,107.0,15.7,58.6
2004-03-21 01:00:00,1,2.1,7.4,133.0,90.0,15.1,60.9
2004-03-21 02:00:00,2,1.6,6.2,89.0,84.0,15.6,56.6
2004-03-21 04:00:00,4,1.3,5.8,85.0,87.0,15.4,57.8
2004-03-21 05:00:00,5,1.1,4.0,55.0,66.0,14.9,60.6
2004-03-21 06:00:00,6,0.7,2.1,24.0,36.0,14.5,63.0
2004-03-21 07:00:00,7,0.8,3.6,72.0,62.0,14.2,66.2
2004-03-21 08:00:00,8,1.2,4.4,122.0,91.0,14.5,65.3
2004-03-21 09:00:00,9,1.4,5.4,111.0,89.0,15.3,62.1
2004-03-21 10:00:00,10,1.7,7.1,123.0,93.0,16.3,59.0
2004-03-21 11:00:00,11,1.8,7.3,106.0,81.0,18.9,49.6
2004-03-21 12:00:00,12,1.8,7.6,103.0,82.0,19.4,46.1
2004-03-21 13:00:00,13,1.9,6.8,102.0,80.0,20.8,41.6
2004-03-21 14:00:00,14,1.3,4.6,48.0,48.0,21.4,40.3
2004-03-21 15:00:00,15,1.6,8.4,63.0,61.0,21.2,39.3
2004-03-21 16:00:00,16,1.9,6.9,98.0,89.0,20.3,38.0
2004-03-21 17:00:00,17,2.3,9.0,132.0,105.0,19.4,41.3
2004-03-21 18:00:00,18,3.8,15.1,173.0,116.0,18.5,43.8
2004-03-21 19:00:00,19,3.5,12.6,185.0,119.0,17.8,48.1
2004-03-21 20:00:00,20,4.3,15.1,266.0,144.0,17.9,46.9
2004-03-21 21:00:00,21,2.8,9.9,188.0,123.0,17.4,49.1
2004-03-21 22:00:00,22,1.9,8.0,122.0,105.0,17.0,51.7
2004-03-21 23:00:00,23,1.9,7.9,112.0,93.0,16.4,55.1
2004-03-22 00:00:00,0,1.7,6.1,93.0,86.0,16.1,60.0
2004-03-22 01:00:00,1,1.5,5.1,74.0,76.0,15.8,60.5
2004-03-22 02:00:00,2,0.6,1.7,23.0,33.0,16.3,57.0
2004-03-22 04:00:00,4,0.5,0.8,17.0,27.0,16.1,55.9
2004-03-22 05:00:00,5,0.3,0.7,15.0,23.0,16.5,53.9
2004-03-22 06:00:00,6,0.6,2.0,41.0,46.0,16.4,54.0
2004-03-22 07:00:00,7,1.2,5.1,86.0,76.0,15.7,57.6
2004-03-22 08:00:00,8,3.6,17.7,226.0,116.0,15.8,53.7
2004-03-22 09:00:00,9,3.7,18.4,214.0,115.0,17.4,42.1
2004-03-22 10:00:00,10,1.8,6.9,115.0,83.0,17.9,38.4
2004-03-22 11:00:00,11,1.6,7.3,124.0,87.0,18.5,36.7
2004-03-22 12:00:00,12,1.9,9.6,122.0,90.0,21.0,29.6
2004-03-22 13:00:00,13,2.0,10.4,107.0,87.0,21.3,28.1
2004-03-22 14:00:00,14,2.2,11.2,133.0,99.0,21.3,26.1
2004-03-22 15:00:00,15,2.1,10.7,130.0,99.0,21.3,26.8
2004-03-22 16:00:00,16,2.3,11.6,150.0,101.0,21.3,24.2
2004-03-22 17:00:00,17,2.6,12.4,138.0,103.0,20.2,28.5
2004-03-22 18:00:00,18,3.8,18.3,213.0,129.0,17.0,43.1
2004-03-22 19:00:00,19,4.4,21.0,232.0,143.0,15.6,47.4
2004-03-22 20:00:00,20,4.5,21.0,238.0,146.0,15.3,47.4
2004-03-22 21:00:00,21,3.3,14.5,180.0,124.0,14.5,49.7
2004-03-22 22:00:00,22,2.0,8.4,128.0,113.0,13.9,52.0
2004-03-22 23:00:00,23,1.1,4.3,65.0,80.0,14.5,49.4
2004-03-23 00:00:00,0,0.9,3.8,53.0,72.0,13.8,51.4
2004-03-23 01:00:00,1,0.8,2.7,47.0,64.0,14.0,51.3
2004-03-23 02:00:00,2,0.7,2.5,51.0,70.0,13.0,56.8
2004-03-23 03:00:00,3,0.5,1.2,37.33333,55.0,11.0,70.0
2004-03-23 04:00:00,4,0.6,0.8,20.0,31.0,10.1,76.8
2004-03-23 05:00:00,5,0.3,0.6,13.0,22.0,8.8,80.5
2004-03-23 06:00:00,6,0.5,1.8,33.0,47.0,9.6,75.4
2004-03-23 07:00:00,7,1.1,4.6,103.0,88.0,9.8,75.0
2004-03-23 08:00:00,8,3.0,14.2,224.0,130.0,10.0,74.2
2004-03-23 09:00:00,9,3.8,21.0,244.0,132.0,11.2,69.7
2004-03-23 10:00:00,10,3.4,16.2,237.0,132.0,12.0,62.9
2004-03-23 11:00:00,11,3.0,15.5,220.0,131.0,12.8,55.8
2004-03-23 12:00:00,12,2.7,13.4,207.0,129.0,13.1,54.8
2004-03-23 13:00:00,13,3.5,16.9,208.0,132.0,13.8,53.4
2004-03-23 14:00:00,14,2.8,12.4,160.0,110.0,16.0,42.4
2004-03-23 15:00:00,15,1.9,10.1,131.0,99.0,14.1,49.8
2004-03-23 16:00:00,16,2.0,8.7,128.0,100.0,12.0,61.1
2004-03-23 17:00:00,17,3.0,13.8,176.0,122.0,13.6,54.6
2004-03-23 18:00:00,18,1.9,9.3,107.0,97.0,13.7,49.5
2004-03-23 19:00:00,19,2.7,13.0,131.0,112.0,11.7,57.1
2004-03-23 20:00:00,20,3.3,14.3,166.0,128.0,11.5,58.2
2004-03-23 21:00:00,21,1.7,7.6,89.0,101.0,12.6,54.2
2004-03-23 22:00:00,22,1.3,5.3,81.0,96.0,12.0,54.9
2004-03-23 23:00:00,23,1.3,5.4,78.0,86.0,11.0,61.4
2004-03-24 00:00:00,0,1.2,4.9,70.0,85.0,11.1,62.2
2004-03-24 01:00:00,1,1.1,4.6,76.0,79.0,10.8,62.5
2004-03-24 02:00:00,2,0.9,2.7,43.0,61.0,11.3,60.0
2004-03-24 03:00:00,3,0.6,1.6,30.33333,47.0,10.6,61.6
2004-03-24 04:00:00,4,0.66667,1.7,44.0,66.0,10.2,62.7
2004-03-24 05:00:00,5,0.6,1.2,34.0,54.0,10.9,58.6
2004-03-24 06:00:00,6,0.8,1.7,43.0,57.0,10.8,57.2
2004-03-24 07:00:00,7,1.2,4.8,79.0,75.0,10.4,59.2
2004-03-24 08:00:00,8,3.1,13.8,174.0,97.0,11.0,57.3
2004-03-24 09:00:00,9,4.4,23.7,235.0,110.0,11.2,56.9
2004-03-24 10:00:00,10,3.4,14.2,218.0,113.0,12.1,54.9
2004-03-24 11:00:00,11,1.7,8.0,136.0,88.0,15.1,44.3
2004-03-24 12:00:00,12,1.5,6.7,117.0,85.0,15.6,40.6
2004-03-24 13:00:00,13,1.7,8.7,119.0,96.0,16.9,34.6
2004-03-24 14:00:00,14,2.2,10.8,126.0,106.0,16.6,35.6
2004-03-24 15:00:00,15,1.86667,6.7,100.0,91.0,11.3,63.9
2004-03-24 16:00:00,16,2.7,11.4,197.0,126.0,9.6,81.1
2004-03-24 17:00:00,17,2.8,13.4,195.0,130.0,11.7,69.1
2004-03-24 18:00:00,18,2.7,12.0,156.0,111.0,10.7,68.5
2004-03-24 19:00:00,19,4.5,20.2,247.0,134.0,10.7,67.3
2004-03-24 20:00:00,20,3.5,14.4,190.0,136.0,10.8,65.7
2004-03-24 21:00:00,21,2.6,9.4,169.0,125.0,10.3,66.3
2004-03-24 22:00:00,22,1.7,5.9,118.0,108.0,10.1,66.9
2004-03-24 23:00:00,23,1.3,4.5,81.0,87.0,10.4,61.1
2004-03-25 00:00:00,0,1.3,4.5,80.0,89.0,10.3,59.9
2004-03-25 01:00:00,1,1.0,2.5,42.0,58.0,11.0,58.4
2004-03-25 02:00:00,2,0.7,1.8,38.0,54.0,9.1,68.1
2004-03-25 03:00:00,3,0.7,1.4,30.0,48.0,9.5,68.2
2004-03-25 04:00:00,4,0.5,0.9,18.0,28.0,9.3,72.3
2004-03-25 05:00:00,5,0.5,0.6,12.0,20.0,9.9,66.8
2004-03-25 06:00:00,6,0.6,1.4,43.0,51.0,7.6,83.2
2004-03-25 07:00:00,7,1.1,3.8,84.0,82.0,8.1,79.0
2004-03-25 08:00:00,8,2.7,11.6,184.0,112.0,8.7,74.6
2004-03-25 09:00:00,9,3.5,17.8,202.0,119.0,8.6,75.1
2004-03-25 10:00:00,10,2.3,8.8,133.0,99.0,9.7,69.7
2004-03-25 11:00:00,11,1.6,6.8,130.0,98.0,11.0,64.4
2004-03-25 12:00:00,12,1.3,5.9,106.0,88.0,13.6,53.0
2004-03-25 13:00:00,13,2.0,8.9,132.0,96.0,14.2,48.4
2004-03-25 14:00:00,14,1.9,8.2,106.0,81.0,14.2,46.3
2004-03-25 15:00:00,15,1.9,8.6,125.0,92.0,16.0,41.3
2004-03-25 16:00:00,16,2.2,10.1,138.0,105.0,17.7,35.4
2004-03-25 17:00:00,17,2.0,9.4,120.0,88.0,17.1,37.4
2004-03-25 18:00:00,18,2.9,14.6,158.0,103.0,14.9,40.5
2004-03-25 19:00:00,19,5.2,24.6,253.0,141.0,13.4,47.8
2004-03-25 20:00:00,20,4.6,21.6,231.0,133.0,12.6,52.5
2004-03-25 21:00:00,21,2.5,10.3,150.0,119.0,12.2,53.2
2004-03-25 22:00:00,22,1.5,5.7,99.0,106.0,10.6,56.1
2004-03-25 23:00:00,23,1.2,4.5,75.0,92.0,9.9,59.5
2004-03-26 00:00:00,0,1.7,5.5,93.0,97.0,9.6,61.1
2004-03-26 01:00:00,1,1.4,4.8,79.0,91.0,9.7,61.6
2004-03-26 02:00:00,2,1.2,3.6,67.0,83.0,9.4,62.6
2004-03-26 03:00:00,3,0.6,1.7,30.33333,43.66667,8.2,68.5
2004-03-26 04:00:00,4,0.7,2.2,45.0,59.0,8.0,69.4
2004-03-26 05:00:00,5,0.8,3.0,72.0,73.0,7.7,72.4
2004-03-26 06:00:00,6,0.9,4.0,103.0,78.0,8.0,71.8
2004-03-26 07:00:00,7,1.6,6.7,132.0,90.0,8.5,66.3
2004-03-26 08:00:00,8,3.4,16.7,239.0,110.0,9.8,59.6
2004-03-26 09:00:00,9,3.8,19.3,275.0,114.0,11.2,57.0
2004-03-26 10:00:00,10,3.1,14.8,232.0,119.0,14.8,44.1
2004-03-26 11:00:00,11,2.7,13.4,180.0,121.0,16.8,35.3
2004-03-26 12:00:00,12,2.0,11.0,112.0,97.0,19.2,27.1
2004-03-26 13:00:00,13,2.3,12.5,116.0,99.0,19.1,26.2
2004-03-26 14:00:00,14,1.9,8.4,103.0,85.0,16.3,30.8
2004-03-26 15:00:00,15,1.3,5.3,89.0,75.0,14.2,36.8
2004-03-26 16:00:00,16,1.9,8.8,112.0,87.0,13.4,41.0
2004-03-26 17:00:00,17,2.3,11.2,127.0,102.0,14.2,43.3
2004-03-26 18:00:00,18,2.4,11.6,125.0,105.0,12.1,45.6
